"","artist","avg_stream","avg_dance","avg_energy","avg_tempo","avg_key","avg_loudness","avg_speech","avg_acoust","avg_instru","avg_live","avg_valence"
"78","The Neighbourhood",499006940.8,0.5354,0.6237,114.7749,6.5,-6.8178,0.03689,0.081935,0.064782789,0.17176,0.3771
"79","Pitbull",497472141.5,0.7012,0.8405,127.1069,6.5,-4.7705,0.11978,0.053613,0.00158913,0.26766,0.6713
"80","Zara Larsson",497391177.7,0.6242,0.6647,123.7203,6.3,-5.0651,0.05298,0.249626,0.000055296,0.19558,0.4397
"81","Panic! At The Disco",496611914.9,0.543,0.8309,130.3843,4.9,-4.2976,0.06876,0.0357652,0,0.16199,0.55204
"82","Farruko",493554900.3,0.7332,0.7084,128.2592,6.9,-5.0758,0.13962,0.212059,0.00000698,0.15875,0.5735
"83","Ozuna",486633027.9,0.8119,0.7255,121.0984,4.8,-4.9039,0.1079,0.187042,0.0000627,0.17044,0.5833
"84","Ellie Goulding",484378906.2,0.5567,0.699,117.7906,4.3,-5.9712,0.04362,0.24419,0.030006888,0.1611,0.4596
"85","Nirvana",476912628.8,0.4818,0.6692,125.3831,4.8,-9.0019,0.04461,0.18923442,0.09510926,0.13492,0.46678
"86","The Kid LAROI",476592613.6,0.5872,0.5855,114.8465,5.1,-6.3872,0.07117,0.261568,0.000145,0.16346,0.4189
"87","Jack Harlow",472382075.1,0.8254,0.639,128.5751,7.5,-7.0668,0.13908,0.119119,0.009896254,0.1393,0.6272
"88","Alan Walker",469261069.9,0.5589,0.6921,146.032,4.1,-5.0723,0.07054,0.13406,0.000240379,0.17311,0.3414
"89","Green Day",465307709.8,0.4539,0.777,128.4716,5.9,-4.3796,0.0657,0.02859084,0.000013926,0.28798,0.5551
"90","Michael Jackson",460604309.3,0.8197,0.766,121.2854,5.4,-6.6325,0.08545,0.12163,0.056881889,0.19466,0.7503
"91","Lil Baby",459626850.8,0.8471,0.5248,113.9171,5.1,-7.1175,0.35276,0.078835,0.000000874,0.16516,0.3283
"92","Zedd",452537823.6,0.6227,0.7172,125.2495,7.2,-4.1477,0.04836,0.194837,0.019302291,0.09765,0.4426
"93","David Guetta",451849084.4,0.652,0.7898,126.1984,6.7,-4.6524,0.08201,0.143963,0.051062589,0.16678,0.46908
"94","Jonas Blue",451392670.4,0.6789,0.7669,116.3055,5.6,-4.6877,0.04247,0.22942,0.000029366,0.13086,0.5936
"95","The Beatles",450927502.8,0.4993,0.4569,126.7193,5.8,-10.1605,0.03546,0.40133,0.025051826,0.12199,0.4825
"96","Black Eyed Peas",447377181.8,0.7744,0.7453,121.2897,4.5,-5.7643,0.12346,0.083533,0.00245224,0.37585,0.5475
"97","Taylor Swift",445712234.5,0.6408,0.5052,115.8345,5.3,-9.0068,0.06183,0.34508,0.000206054,0.13034,0.36466
"98","Julia Michaels",438313930.7,0.6297,0.4949,127.1405,3.4,-7.4446,0.08325,0.5543,0.000027864,0.11734,0.4063
"99","Childish Gambino",437126947,0.6658,0.5169,118.4403,2.1,-8.4974,0.13488,0.135388,0.00366539,0.2548,0.4164
"100","Lauv",437004212.4,0.6369,0.5095,107.1936,7.2,-7.9011,0.12583,0.33479,0.000001046,0.14547,0.43292
