"","artist","avg_views","avg_dance","avg_energy","avg_tempo","avg_key","avg_loudness","avg_speech","avg_acoust","avg_instru","avg_live","avg_valence"
"23","Dua Lipa",821633930.7,0.7469,0.7347,116.2041,5.7,-4.7274,0.07142,0.045934,0.000011139,0.14699,0.6409
"24","PSY",810172477,0.801,0.7977,135.5026,4.2,-3.5043,0.09298,0.017967,0.00000612,0.07275,0.6579
"25","Natti Natasha",808532392.9,0.7541,0.7749,116.0356,7.4,-4.4826,0.08255,0.226083,0.026618273,0.18238,0.7374
"26","Rihanna",806702671,0.6399,0.6097,134.5486,6.2,-5.9273,0.08226,0.2404095,0.01213083,0.09211,0.4289
"27","Nicki Minaj",801706407.3,0.7537,0.7558,127.323,5.5,-4.0431,0.2214,0.25964,0.004819426,0.25583,0.5887
"28","Twenty One Pilots",742277271.9,0.6771,0.6716,112.5986,5.2,-6.5386,0.05124,0.0835138,0.01570687,0.16916,0.5688
"29","Shawn Mendes",735104434.3,0.6415,0.6548,119.8948,7,-6.1276,0.08475,0.14674,0.0000273,0.14039,0.55336
"30","Ozuna",733918916.5,0.8119,0.7255,121.0984,4.8,-4.9039,0.1079,0.187042,0.0000627,0.17044,0.5833
"31","Alan Walker",725684711.2,0.5589,0.6921,146.032,4.1,-5.0723,0.07054,0.13406,0.000240379,0.17311,0.3414
"32","Farruko",712561250.5,0.7332,0.7084,128.2592,6.9,-5.0758,0.13962,0.212059,0.00000698,0.15875,0.5735
"33","The Weeknd",704603315.4,0.5865,0.6425,127.6996,2.8,-6.5938,0.06643,0.124516,0.000724315,0.18269,0.292
"34","Passenger",681266979.6,0.5921,0.39129,102.7772,5,-10.3675,0.03771,0.53171,0.001168229,0.12326,0.4158
"35","Meghan Trainor",647485673.4,0.7359,0.7331,118.8295,4.6,-5.0056,0.09014,0.22728,0.000072223,0.25476,0.8119
"36","Earth, Wind & Fire",641407658,0.7013,0.7093,114.8796,6.9,-9.6013,0.05348,0.25477,0.00516117,0.17382,0.7564
