"","artist","avg_views","avg_streams"
"83","Panic! At The Disco",236061323.2,496611914.9
"84","Farruko",712561250.5,493554900.3
"85","Ozuna",733918916.5,486633027.9
"86","Ellie Goulding",570797583.2,484378906.2
"87","Nirvana",326424999.5,476912628.8
"88","The Kid LAROI",104386285.2,476592613.6
"89","Jack Harlow",119378785.7,472382075.1
"90","Alan Walker",725684711.2,469261069.9
"91","Green Day",224469539.5,465307709.8
"92","Frank Ocean",974929.2,461275865.7
"93","Michael Jackson",520496199.1,460604309.3
"94","Lil Baby",102236637.4,459626850.8
"95","Zedd",147567488.5,452537823.6
"96","David Guetta",274403020.3,451849084.4
"97","Jonas Blue",290317378.1,451392670.4
"98","The Beatles",65420371.7,450927502.8
"99","Black Eyed Peas",490716434.5,447377181.8
"100","Taylor Swift",362058712.7,445712234.5
"101","Julia Michaels",79501753.1,438313930.7
"102","Childish Gambino",212456470.2,437126947
"103","Lauv",85882777.9,437004212.4
"104","Shakira",881813978.6,429504502.8
"105","Anne-Marie",259185492.5,428711528.8
"106","Hailee Steinfeld",137378696.6,425916731.6
"107","Tainy",283743624.9,425909923.1
"108","G-Eazy",302426517.8,423289512
"109","Fall Out Boy",151752589.9,419069732.7
"110","Bon Jovi",442310548.3,417172887.7
"111","Chencho Corleone",331872655.1,414912885
"112","Roddy Ricch",147783255.7,412604525.1
"113","DJ Khaled",364646245.6,410235635.9
"114","Rauw Alejandro",218873691.7,408880150.7
"115","Bastille",193774917.1,408851937.7
"116","Lil Peep",114662184.7,408524327
"117","50 Cent",456024072.7,405956641.4
"118","Lil Wayne",316282035.5,404858098.8
"119","The Killers",142818236,403630774.1
"120","Big Sean",174833073.6,403598472.8
"121","5 Seconds of Summer",89668317.9,402526970.2
"122","Meghan Trainor",647485673.4,401828040.6
"123","BLACKPINK",939296198.9,401597250
"124","Ava Max",176635465.2,400460912
"125","Macklemore & Ryan Lewis",1012205556,398297834.3
"126","Britney Spears",299319686.7,395708532.5
"127","Bazzi",93016336.2,395081366.7
"128","Ryan Lewis",364919373,394369274.2
"129","Kygo",180607157.4,393289250.8
"130","The Rolling Stones",91041502.4,392778276.6
"131","Polo G",82177528.3,390567869.1
"132","Sebastian Yatra",519479157.2,390272065.4
"133","Maluma",537679495.6,388927068.9
"134","Bob Marley & The Wailers",97630062.6,388922993.8
"135","Lorde",144219869,388470419.5
"136","P!nk",347598566.7,388172902.8
"137","Ty Dolla $ign",279089119.6,384415249.6
"138","Daniel Caesar",105247962.7,381752398.4
"139","Alessia Cara",88102928.5,379898389.5
"140","Labrinth",138953605.6,376614901.7
"141","Creedence Clearwater Revival",68637114,374466862.9
"142","Enrique Iglesias",886027060.8,373286218.4
"143","JAY-Z",92189708.5,370364447.6
"144","Mark Ronson",567663301.2,368182941.1
"145","Alicia Keys",201352553.8,367548519.6
"146","Florida Georgia Line",238641777,367155530.1
"147","benny blanco",179697514.2,367026748.8
"148","blackbear",53620502.2,363512237.9
"149","Mariah Carey",306424403.6,362878523.3
"150","Zion & Lennox",2262040.3,361579108.3
"151","Rae Sremmurd",238797449.3,361480312.5
"152","Dr. Dre",275618342.7,361134559
"153","Troye Sivan",93813946.9,360196627.8
"154","Vance Joy",62185916,359612996.2
"155","Usher",257593303.4,358000401.3
"156","Foo Fighters",158171603.9,357843026.6
"157","Ne-Yo",201051073.5,357539043.4
"158","NF",101928852.1,356963236.2
"159","Diplo",239440619.7,356935685.7
"160","Kodak Black",134849236.4,356734993.1
"161","Giveon",114707872.6,350357292.7
"162","Joji",68492614.4,349809103.9
"163","French Montana",256151852.6,348534858.1
"164","6ix9ine",499011818.2,348521925.2
"165","Little Mix",307222799.7,347815751.4
"166","Chris Brown",184121513.3,346697123.2
"167","Nicky Jam",632203084.4,345500790.5
"168","Luke Combs",163661301.1,345013974
"169","Glass Animals",73986993.3,343640526.6
"170","Whitney Houston",371949118.1,343620635.6
"171","Lenny Tavárez",264711833.7,343525628.3
"172","Daft Punk",159066708.9,342959361.5
"173","Fifth Harmony",857443647.5,342912446.3
"174","Jason Mraz",128922058.9,341708341.3
"175","Tyga",271723674.2,341513575.4
"176","The Script",156978852.7,341305420.4
"177","System Of A Down",352990653.6,341247698.9
"178","Robin Schulz",218640524.7,339839376.7
